gmp       , 5.1.3   , gcc   , gcc (GCC) 13.1.1 20230429                       , mpz_powm_sec                    , 10 , 4096 , 515   
nettle    , 3.8.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , rsa_sha1_verify_digest          , 10 , 4096 , 185773
nettle    , 3.8.1   , gcc   , gcc (GCC) 13.1.1 20230429                       , rsa_sha1_sign_digest            , 10 , 4096 , 2585  
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_private             , 10 , 4096 , 605   
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_mpi_exp_mod             , 10 , 4096 , 229   
mbedtls   , 3.3.0   , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_public              , 10 , 4096 , 65296 
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_private             , 10 , 4096 , 628   
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_mpi_exp_mod             , 10 , 4096 , 239   
mbedtls   , 2.28.2  , gcc   , gcc (GCC) 13.1.1 20230429                       , mbedtls_rsa_public              , 10 , 4096 , 68784 
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_verify                  , 10 , 4096 , 84509 
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_sign_crt                , 10 , 4096 , 673   
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_mpi_powm                   , 10 , 4096 , 278   
libgcrypt , 1.10.1  , gcc   , gcc (GCC) 13.1.1 20230429                       , gcry_pk_sign                    , 10 , 4096 , 287   
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_sign_crt               , 10 , 4096 , 2952  
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_verify                 , 10 , 4096 , 196584
openssl   , 3.0.7   , clang , clang version 15.0.7                            , BN_mod_exp_mont                 , 10 , 4096 , 891   
openssl   , 3.0.7   , clang , clang version 15.0.7                            , BN_mod_exp_mont_consttime       , 10 , 4096 , 825   
openssl   , 3.0.7   , clang , clang version 15.0.7                            , EVP_PKEY_sign                   , 10 , 4096 , 820   
openssl   , 3.0.7   , clang , clang version 15.0.7                            , BN_mod_exp_mont_consttime_x2    , 10 , 4096 , 820   
gmp       , 6.2.1   , clang , clang version 15.0.7                            , mpz_powm                        , 10 , 4096 , 840   
gmp       , 6.2.1   , clang , clang version 15.0.7                            , mpz_powm_sec                    , 10 , 4096 , 650   
gmp       , 6.1.2   , clang , clang version 15.0.7                            , mpz_powm                        , 10 , 4096 , 631   
gmp       , 6.1.2   , clang , clang version 15.0.7                            , mpz_powm_sec                    , 10 , 4096 , 538   
